Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
1.00,09-01-2020,BYJU’S,E-Tech,E-learning,Bangalore,Tiger Global Management,Private Equity Round,"₹ 20,00,00,000.00",
2.00,13-01-2020,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,"₹ 80,48,394.00",
3.00,09-01-2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bangalore,Sequoia Capital India,Series B,"₹ 1,83,58,860.00",
4.00,02-01-2020,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,"₹ 30,00,000.00",
5.00,02-01-2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,"₹ 18,00,000.00",
6.00,13-01-2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,"₹ 90,00,000.00",
7.00,10-01-2020,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,"₹ 15,00,00,000.00",
8.00,12-12-2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,"₹ 60,00,000.00",
9.00,06-12-2019,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,"₹ 7,00,00,000.00",
10.00,03-12-2019,Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed,"₹ 5,00,00,000.00",
11.00,13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,"₹ 2,00,00,000.00",
12.00,17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,"₹ 1,20,00,000.00",
13.00,16-12-2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,"₹ 3,00,00,000.00",
14.00,16-12-2019,InCred,Finance,Non-Banking Financial Company,Mumbai,,Debt Funding,"₹ 59,00,000.00",
15.00,14-12-2019,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed Round,"₹ 20,00,000.00",
16.00,11-12-2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,"₹ 5,00,00,000.00",
17.00,20-12-2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,"₹ 23,10,00,000.00",
18.00,13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,"₹ 15,00,00,000.00",
19.00,14-11-2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,"₹ 4,86,000.00",
20.00,13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,"₹ 15,00,000.00",
21.00,17-11-2019,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,N/A,N/A
22.00,18-11-2019,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,"₹ 1,20,00,000.00",
23.00,15-11-2019,Ninjacart,B2B Marketing,Agritech,Bangalore,Trifecta Capital Advisors,Debt Funding,"₹ 2,60,00,000.00",
24.00,20-11-2019,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,"₹ 1,74,11,265.00",
25.00,12-11-2019,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,"₹ 13,00,000.00",
26.00,20-11-2019,Clumio,SaaS,Recovery software,San Jose,"Altimeter Capital, Sutter Hill Ventures",Series C,"₹ 13,50,00,000.00",
27.00,11-11-2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,"₹ 3,00,000.00",
28.00,19-11-2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,"₹ 22,00,00,000.00",
29.00,18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,"₹ 1,58,00,000.00",
30.00,15-11-2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,"₹ 28,30,00,000.00",
31.00,19-11-2019,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,N/A,"₹ 20,00,00,000.00",
32.00,25-11-2019,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,"₹ 1,00,00,00,000.00",
33.00,04-10-2019,Dunzo,Customer Service,Delivery Service,Bangalore,Lightbox,Series D,"₹ 4,50,00,000.00",
34.00,02-10-2019,Udaan,B2B,Business development,Bangalore,"Altimeter Capital, DST Global",Series D,"₹ 58,50,00,000.00",
35.00,21-10-2019,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,N/A,N/A
36.00,05-09-2019,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,"₹ 45,00,000.00",
37.00,04-09-2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,"₹ 33,00,000.00",
38.00,04-09-2019,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,"₹ 60,00,000.00",
39.00,04-09-2019,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,"₹ 50,00,000.00",
40.00,04-09-2019,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,"₹ 1,80,00,000.00",
41.00,04-09-2019,Myelin Foundry,Information Technology,Deep-technology,Bangalore,Endiya Partners,Seed,"₹ 10,00,000.00",
42.00,04-09-2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,"₹ 1,00,00,000.00",
43.00,04-09-2019,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,"₹ 45,00,00,000.00",
44.00,03-09-2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bangalore,"India Quotient, Axilor Ventures",Series A,"₹ 50,00,000.00",
45.00,01-08-2019,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,"₹ 2,00,00,000.00",nan
46.00,01-08-2019,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,"₹ 50,00,000.00",nan
47.00,01-08-2019,MyPetrolPump,Retail,Fuel Delivery,Bangalore,,Seed Funding Round,"₹ 16,00,000.00",nan
48.00,01-08-2019,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,"₹ 14,00,00,000.00",nan
49.00,01-08-2019,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,"₹ 3,80,80,000.00",nan
50.00,12-08-2019,Meesho,E-Commerce,Social Commerce,Bangalore,Naspers,Series D,"₹ 12,50,00,000.00",nan
51.00,13-08-2019,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,"₹ 1,10,00,000.00",nan
52.00,13-08-2019,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,"₹ 5,10,00,000.00",nan
53.00,23-08-2019,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,"₹ 3,70,00,000.00",nan
54.00,23-08-2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,"₹ 5,00,000.00",nan
55.00,23-08-2019,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,"₹ 11,00,00,000.00",nan
56.00,22-08-2019,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,"₹ 1,50,00,000.00",nan
57.00,21-08-2019,HungerBox,Food and Beverage,B2B Foodtech,Bangalore,One97 Communications Ltd.,Series C,"₹ 65,90,000.00",nan
58.00,23-08-2019,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,"₹ 10,00,000.00",nan
59.00,19-08-2019,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,N/A,N/A
60.00,19-08-2019,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,"₹ 7,00,00,000.00",nan
61.00,27-08-2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bangalore,Westbridge Capital,Series B,"₹ 3,90,00,00,000.00",nan
62.00,02-07-2019,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,"₹ 1,90,00,000.00",nan
63.00,02-07-2019,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,"₹ 25,00,000.00",nan
64.00,01-07-2019,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,"₹ 1,45,000.00",nan
65.00,03-07-2019,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,"₹ 10,00,000.00",nan
66.00,01-07-2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,"₹ 3,80,80,000.00",nan
67.00,04-07-2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,"₹ 5,00,000.00",nan
68.00,10-07-2019,BYJU'S,EdTech,Education,Bangalore,Qatar Investment Authority,Private Equity Round,"₹ 15,00,00,000.00",nan
69.00,11-07-2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,"₹ 6,00,00,000.00",nan
70.00,10-07-2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,"₹ 1,60,00,000.00",nan
71.00,10-07-2019,Indus OS,Tech,Smartphone Operating System,Mumbai,Ventureast,Series B,"₹ 57,50,000.00",nan
72.00,10-07-2019,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,"₹ 25,00,000.00",nan
73.00,09-07-2019,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,"₹ 10,00,000.00",nan
74.00,08-07-2019,Board Infinity,EdTech,Full-stack career platform,Mumbai,Multiple Angel Investors,Angel Round,"₹ 3,19,605.00",nan
75.00,05-06-2019,NoBroker,E-Commerce,Real Estate,Bangalore,General Atlantic,Series C,"₹ 5,10,00,000.00",nan
76.00,04-06-2019,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,"₹ 1,00,00,000.00",nan
77.00,03-06-2019,FabHotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",N/A,"₹ 48,89,975.54",nan
78.00,03-06-2019,Avail Finance,Finance,FinTech,Bangalore,Matrix Partners,Series A,"₹ 90,00,000.00",nan
79.00,04-06-2019,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,"₹ 7,50,00,000.00",nan
80.00,04-06-2019,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,"₹ 2,60,00,000.00",nan
81.00,03-06-2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bangalore,Blume Ventures and RTP Global,pre-Series A,"₹ 25,00,000.00",nan
82.00,06-06-2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",N/A,"₹ 27,39,034.68",nan
83.00,06-06-2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,"₹ 2,60,00,000.00",nan
84.00,06-06-2019,Pratilipi,Digital Media,E-Books,Bangalore,Qiming Venture Partners,Series B,"₹ 1,51,09,500.00",nan
85.00,10-06-2019,Bolo App,Digital Media,Video Platform,Bangalore,Nexus Venture Partners,Seed Funding,"₹ 4,30,200.00",nan
86.00,10-06-2019,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,"₹ 1,55,00,000.00",nan
87.00,06-06-2019,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,"₹ 5,20,00,000.00",nan
88.00,08-06-2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,"₹ 35,84,000.00",nan
89.00,04-06-2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,"₹ 34,00,000.00",nan
90.00,06-05-2019,Ola Electric,Transport,Cabs,Bangalore,Tata Sons,Series A,N/A,N/A
91.00,06-05-2019,Saahas Zero Waste,Waste Management Service,Optimization,Bangalore,C4D Partners,Venture - Series Unknown,"₹ 8,68,600.00",nan
92.00,05-05-2019,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,N/A,N/A
93.00,01-05-2019,BlackBuck,Transport,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,"₹ 15,00,00,000.00",nan
94.00,02-05-2019,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,"₹ 5,00,00,000.00",nan
95.00,28-05-2019,Ather Energy,Automobile,Electric Vehicle,Bangalore,Sachin Bansal,Series C,"₹ 5,10,00,000.00",nan
96.00,28-05-2019,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,"₹ 14,00,00,000.00",nan
97.00,30-05-2019,GlowRoad,E-commerce,Retail,Bangalore,"Korea Investment Partners, Vertex Ventures",Series B,"₹ 1,15,00,000.00",nan
98.00,31-05-2019,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,"₹ 56,00,000.00",nan
99.00,16-04-2019,Kuvera,Finance,Wealth Management,Bangalore,Eight Roads,Series A,"₹ 4,50,00,000.00",nan
100.00,12-04-2019,Medlife,E-commerce,Online Medicine,Bangalore,Prasid Uno Family Trust,Private Equity,"₹ 1,70,00,000.00",nan
101.00,10-04-2019,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,"₹ 4,30,665.00",nan
102.00,13-04-2019,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,"₹ 35,91,375.00",nan
103.00,12-04-2019,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,"₹ 2,00,000.00",nan
104.00,11-04-2019,Setu,Fintech,Banking,Bangalore,Lightspeed India Partners,Seed Funding,"₹ 35,00,000.00",nan
105.00,10-04-2019,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,"₹ 63,20,820.00",nan
106.00,10-04-2019,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,"₹ 24,43,495.00",nan
107.00,10-04-2019,Unacademy,Edtech,E-learning,Bangalore,Kalyan Krishnamurthy,Seed/ Angel Funding,"₹ 3,07,000.00",nan
108.00,11-04-2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,"₹ 2,60,00,000.00",nan
109.00,19-04-2019,My Healthcare,E-commerce,Software Solutions,Bengaluru / Gurugram,Sixth Sense Ventures,Series A,"₹ 30,00,000.00",nan
110.00,19-04-2019,KrazyBee,E-commerce,Lending Platform,Bangalore,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,"₹ 1,43,42,000.00",nan
111.00,17-04-2019,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,"₹ 50,00,000.00",nan
112.00,17-04-2019,Increff,Technology,Supply-chain technology solutions,Bangalore,"021 Capita, Binny Bansal",Series A,"₹ 30,00,000.00",nan
113.00,01-02-2019,FleetX,AI,Logistics,Gurgaon,India Quotient and LetsVentures Angel Fund,Pre Series A,N/A,N/A
114.00,08-02-2019,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,"₹ 22,60,00,000.00",nan
115.00,13-02-2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,"₹ 6,00,000.00",nan
116.00,14-02-2018,OyoRooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,"₹ 10,00,00,000.00",nan
117.00,03-01-2019,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabets growth investment arm Capital G and Axis Bank",Series C,"₹ 11,00,00,000.00",nan
118.00,04-01-2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,"₹ 2,20,00,000.00",nan
119.00,04-01-2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,"₹ 50,00,000.00",nan
120.00,04-12-2018,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,"₹ 7,00,000.00",nan
121.00,01-12-2018,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,"₹ 5,00,00,000.00",nan
122.00,02-12-2018,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,"₹ 8,00,000.00",nan
123.00,02-12-2018,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,"₹ 5,72,000.00",nan
124.00,04-12-2018,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,"₹ 1,43,000.00",nan
125.00,06-12-2018,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,"₹ 20,00,000.00",nan
126.00,06-12-2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,"₹ 35,00,000.00",nan
127.00,01-11-2018,GoDesi,Food and Beverage,Regional Flavours,Bangalore,Lead Angels Network,Seed/ Angel Funding,"₹ 1,38,995.00",nan
128.00,03-11-2018,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UKs Development Finance Institution and P Surendra Pai",Series D,"₹ 2,77,99,000.00",nan
129.00,06-11-2018,Meesho,Ecommerce,Social Commerce,Bangalore,"Shunwei Capital, DST Partners and RPS Ventures",Series C,"₹ 5,00,00,000.00",nan
130.00,08-11-2018,Mobile Premier League,Gaming,Mobile e-Sports,Bangalore,Undisclosed,Series A,"₹ 5,00,000.00",nan
131.00,08-11-2018,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,"₹ 10,00,000.00",nan
132.00,12-11-2018,Blackbuck,Food Tech,POS For Online Ordering,New York / Bengaluru,Tiger Global,Series A,"₹ 10,00,000.00",nan
133.00,12-11-2018,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,"₹ 13,00,000.00",nan
134.00,13-11-2018,DriveU,Transport,On-Demand Drivers,Bangalore,Stevens Creek Ventures,Mezzanine,"₹ 10,00,000.00",nan
135.00,14-11-2018,CleanseCar,Services,Car Wash,Bangalore,Venture Catalysts,Seed/ Angel Funding,"₹ 5,00,000.00",nan
136.00,19-11-2018,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,"₹ 30,00,00,000.00",nan
137.00,20-11-2018,HealthifyMe,Health and Wellness,Wellness Coach,Bangalore,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),"₹ 60,00,000.00",nan
138.00,21-11-2018,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,"₹ 2,78,000.00",nan
139.00,22-11-2018,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,"₹ 3,10,00,000.00",nan
140.00,22-11-2018,Skillbox,Social Network,Art,Gurugram,Individual investors,Seed Funding,N/A,N/A
141.00,23-11-2018,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,"₹ 34,00,000.00",nan
142.00,24-11-2018,Engineer.ai,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbanks DeepCore.",Series A,"₹ 2,95,00,000.00",nan
143.00,25-11-2018,InCred Finance,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,"₹ 4,20,00,000.00",nan
144.00,25-11-2018,Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,"₹ 17,00,000.00",nan
145.00,01-10-2018,Northmist,Fashion,Mens Wear,Delhi,Prashant Jaiswal,Seed/ Angel Funding,N/A,N/A
146.00,02-10-2018,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,"₹ 1,10,00,000.00",nan
147.00,04-10-2018,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,"₹ 82,00,000.00",nan
148.00,05-10-2018,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,"₹ 30,00,000.00",nan
149.00,11-10-2018,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,"₹ 40,00,000.00",nan
150.00,12-10-2018,Blackbuck,Logistics Tech,Largest Trucking Platform,Bangalore,Sequoia Capital India,Private Funding,"₹ 1,46,80,000.00",nan
151.00,12-10-2018,LetsTransport,Logistics Tech,Book Trucks Online,Bangalore,Fosun International,Series C,"₹ 1,20,00,000.00",nan
152.00,01-09-2018,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,"₹ 3,50,00,000.00",nan
153.00,03-09-2018,Udaan,B2B Platform,Logistics and Shipping,Bangalore,DST Global and Lightspeed Venture Partners global fund.,Private Equity,"₹ 22,50,00,000.00",nan
154.00,03-09-2018,Daily hunt,Consumer Internet,News and ebooks Mobile App,Bangalore,Falcon Edge,Private Equity,"₹ 63,90,000.00",nan
155.00,04-09-2018,3HCare,Healthcare,Healthcare Service Provider,Delhi,N/A,Seed / Angel Funding,"₹ 10,00,000.00",nan
156.00,04-09-2018,HappyGoEasy,Consumer Internet,Online Travel Agecy,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,N/A,N/A
157.00,05-09-2018,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,"₹ 15,72,00,000.00",nan
158.00,05-09-2018,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI,Private Equity,N/A,N/A
159.00,06-09-2018,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,"₹ 10,00,00,000.00",nan
160.00,10-09-2018,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,"₹ 40,00,000.00",nan
161.00,11-09-2018,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bangalore,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,"₹ 3,20,00,000.00",nan
162.00,11-09-2018,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,"₹ 55,00,000.00",nan
163.00,11-09-2018,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,"₹ 50,00,000.00",nan
164.00,12-09-2018,Kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.  ",Private Equity,"₹ 3,00,00,000.00",nan
165.00,01-08-2018,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,"₹ 4,00,000.00",nan
166.00,01-08-2018,HealthFin,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,N/A,N/A
167.00,02-08-2018,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,"₹ 70,00,000.00",nan
168.00,03-08-2018,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,"₹ 1,20,000.00",nan
169.00,07-08-2018,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,N/A,Seed/ Angel Funding,"₹ 10,00,000.00",nan
170.00,07-08-2018,ShopX,Consumer Internet,Assisted E-commerce Platform,Bangalore,Fung Strategic Holdings,Private Equity,"₹ 3,50,00,000.00",nan
171.00,07-08-2018,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,"₹ 1,00,00,000.00",nan
172.00,08-08-2018,Hansel io,Consumer Internet,Real-time Mobile App Management,Bangalore,Vertex Ventures,Seed/ Angel Funding,"₹ 40,00,000.00",nan
173.00,08-08-2018,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bangalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,"₹ 1,22,00,000.00",nan
174.00,08-08-2018,Phone Pe,Consumer Internet,UPI Payments App,Bangalore,Flipkart,Private Equity,"₹ 6,60,00,000.00",nan
175.00,09-08-2018,quizizz,Ed-Tech,e-learning Platform,Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,"₹ 30,00,000.00",nan
176.00,09-08-2018,Happy EMI,Fin-Tech,Consumer Financing Platform,Bangalore,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,"₹ 10,00,000.00",nan
177.00,13-08-2018,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,"₹ 40,00,000.00",nan
